Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
BPAC11;56.1;13.68;3.12;0.0;2,19%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;22,79%;626088000.0;69969600000.0;0.0;14,72%
IGTI11;26.96;13.73;1.72;5.38;1,45%;0.842;5.73;8.6;-3.18;10.97;9.65;62,58%;39,18%;2.49;12,06%;12,52%;72374800.0;4651640000.0;0.85;13,83%
MULT3;30.97;13.93;2.52;5.802;3,30%;1.208;39.38;8.11;-3.27;10.5;9.81;71,51%;41,66%;1.25;16,21%;18,12%;157218000.0;6299140000.0;0.86;20,39%
ENGI3;12.28;13.97;1.61;0.873;2,52%;0.37;4.13;4.34;-0.75;9.13;7.04;20,09%;8,86%;1.56;10,16%;11,53%;69258.2;19198400000.0;2.32;8,33%
CSMG3;52.01;13.97;2.31;2.374;3,48%;1.115;28.57;8.96;-2.99;12.02;8.41;26,51%;17,00%;1.38;13,39%;16,50%;159840000.0;8578300000.0;0.88;9,80%
EGIE3;31.6;13.98;2.83;2.807;4,25%;0.653;47.94;6.58;-1.05;11.19;8.92;42,67%;22,22%;1.12;10,76%;20,25%;66214900.0;12757700000.0;2.25;-0,09%
FLRY3;15.66;13.98;1.71;1.034;6,89%;0.648;3.94;6.88;-2.31;9.37;5.44;15,03%;7,20%;1.97;12,15%;12,25%;54346000.0;5001340000.0;1.05;22,95%
ARCE3;54.0;14.01;2.6;2.461;0,00%;1.726;11.33;8.89;102.03;9.07;9.07;27,70%;19,46%;1.97;22,04%;18,59%;0.0;13495400000.0;0.17;48,47%
SBSP3;144.24;14.08;2.38;2.929;4,28%;1.058;40.5;9.59;-2.8;11.79;9.77;30,55%;20,81%;1.17;12,78%;16,88%;465050000.0;42710300000.0;0.82;18,38%
FESA4;7.52;14.1;0.81;1.138;9,70%;0.596;2.21;16.07;4.34;12.29;4.58;7,08%;8,08%;3.06;5,02%;5,74%;6917760.0;3284360000.0;0.11;-3,78%
TMGC11;900.0;14.26;1.83;1.309;0,00%;1.26;7.62;20.08;13.46;18.75;18.75;6,52%;9,18%;1.69;8,73%;12,83%;0.0;1167010000.0;0.05;10,49%
KLBN3;3.84;14.28;3.04;1.158;8,52%;0.376;2.58;5.59;-0.76;11.61;5.37;20,72%;8,11%;2.06;8,79%;21,28%;2791630.0;7885950000.0;4.66;4,46%
STBP3;14.42;14.3;11.61;3.435;0,00%;2.11;78.16;7.5;-3.43;8.69;7.35;45,81%;24,03%;1.15;33,17%;81,19%;0.0;1073640000.0;2.53;23,72%
KLBN4;3.85;14.32;3.05;1.161;8,50%;0.377;2.59;5.6;-0.77;11.63;5.37;20,72%;8,11%;2.06;8,79%;21,28%;12296100.0;7885950000.0;4.66;4,46%
KLBN11;19.29;14.35;3.05;1.163;8,48%;0.377;2.59;5.62;-0.77;11.64;5.38;20,72%;8,11%;2.06;8,79%;21,28%;119915000.0;7885950000.0;4.66;4,46%
TNCP4;182.6;14.42;2.49;3.091;0,00%;1.696;52.65;11.85;-22.3;11.88;8.72;26,08%;21,44%;1.15;16,48%;17,29%;0.0;13081500000.0;0.09;97,79%
MOVI3;11.9;14.47;1.44;0.282;6,72%;0.136;-1.21;1.2;-0.21;5.8;3.41;23,43%;1,95%;0.69;15,29%;9,98%;62619100.0;2788630000.0;6.7;30,46%
CEPE3;128.0;14.49;3.7;1.1;0,00%;0.624;38.2;6.17;-1.06;11.19;8.6;17,84%;7,59%;1.07;11,39%;25,50%;0.0;2584000000.0;3.33;0,82%
TELB4;8.0;14.53;0.53;1.766;0,00%;0.193;0.46;-2.66;-1.52;1.85;20.01;-66,51%;12,16%;5.55;-12,02%;3,68%;20343.5;1527940000.0;0.0;13,00%
TNCP3;184.85;14.59;2.52;3.129;0,00%;1.717;53.3;12.0;-22.58;12.03;8.83;26,08%;21,44%;1.15;16,48%;17,29%;0.0;13081500000.0;0.09;97,79%
MYPK3;9.35;14.61;0.33;0.094;3,28%;0.1;0.53;1.52;-0.43;5.78;3.65;6,15%;1,41%;1.78;8,72%;2,28%;13452100.0;4321720000.0;1.3;1,32%
KSSA3;5.33;14.66;1.4;0.916;0,00%;0.406;1.72;5.62;6.73;12.3;12.3;16,31%;8,42%;1.47;7,67%;9,58%;0.0;553026000.0;1.8;40,68%
ELUM4;47.9;14.79;1.99;1.251;0,00%;1.178;3.07;19.64;3.34;14.9;14.9;6,37%;8,46%;2.02;9,40%;13,47%;0.0;443231000.0;0.08;8,40%
